Cassette: ,300mm Blanket,,,
COLLECTION DATE/TIME: ,1/1/2016 10:33,,,
PROCESS DATE/TIME: ,220/0/2000  10:32:0,,,
EQUIPMENT: ,,,,
OPERATOR: ,operator,,,
SHIFT: ,,,,
MACHINE TYPE: ,KLA,,,
,,,,
,,,,
,,,,
WAFER ID,Slot01,,,
LOT ID,pre,,,
Cassette,Right,,,
SLOT,1,,,
STATUS,,,,
DATA TYPE,SE,,,
RECIPE,Native Oxide on Silicon,,,
RCP CNT,1,,,
MEAS SET,Measurement Results,,,
MATERIAL,"Thermal SiO2, Woollam",,,
SITE,1,,,
RESULT TYPE,1st Thickness,GOF ,,
37,12.2998,0.9909,-38.0458,-141.9913
38,12.4119,0.9909,0.0006,-147
39,12.1641,0.9909,38.047,-141.991
40,11.8034,0.9909,73.5006,-127.3054
41,11.7616,0.9911,103.9452,-103.9443
42,11.7536,0.9911,127.3061,-73.4994
43,11.6394,0.9913,141.9913,-38.0458
44,11.7123,0.9912,147,0.0006
45,11.674,0.9913,141.991,38.047
46,11.6814,0.9915,127.3054,73.5006
47,11.6247,0.9913,103.9443,103.9452
48,11.6673,0.9916,73.4994,127.3061
49,11.5667,0.9907,38.0458,141.9913
,,,,
WAFER ID,Slot06,,,
LOT ID,pre,,,
Cassette,Right,,,
SLOT,6,,,
STATUS,,,,
DATA TYPE,SE,,,
RECIPE,Native Oxide on Silicon,,,
RCP CNT,1,,,
MEAS SET,Measurement Results,,,
MATERIAL,"Thermal SiO2, Woollam",,,
SITE,1,,,
RESULT TYPE,1st Thickness,GOF ,,
MEAN,11.5522,0.9913,,
MIN,11.1409,0.9895,,
MAX,12.4122,0.9919,,
% STDDEV,2.7009,0.0429,,
STDDEV,0.312,0.0004,,
3 % STDDEV,8.1028,0.1286,,
3 STDDEV,0.9361,0.0013,,
RANGE,1.2712,0.0023,,
Site #,Value,Value, X , Y 
1,11.1409,0.9915,0,0
2,11.2036,0.9912,-0.0001,49
3,11.2027,0.9915,-34.6483,34.648
4,11.2773,0.9914,-49,-0.0001
5,11.3443,0.9912,-34.648,-34.6483
6,11.3466,0.9919,0.0001,-49
7,11.2596,0.9911,34.6483,-34.648
8,11.1723,0.9913,49,0.0001
9,11.1878,0.9912,34.648,34.6483
10,11.3626,0.991,-0.0003,98
11,11.2281,0.9917,-37.5034,90.5401
12,11.2337,0.9917,-69.2967,69.2962
13,11.2967,0.9917,-90.5404,37.5026
14,11.3868,0.9913,-98,-0.0004
15,11.2918,0.9914,-90.5401,-37.5034
16,11.4041,0.9913,-69.2962,-69.2967
17,11.3892,0.9913,-37.5026,-90.5404
18,11.5504,0.9898,0.0004,-98
19,11.346,0.9911,37.5034,-90.5401
20,11.35,0.9911,69.2968,-69.2962
21,11.2609,0.9912,90.5404,-37.5026
22,11.2459,0.9915,98,0.0004
23,11.261,0.9913,90.5401,37.5034
24,11.2104,0.9915,69.2961,69.2968
25,11.7539,0.9895,37.5026,90.5404
26,11.5783,0.9914,-0.0006,147
27,11.6234,0.9918,-38.047,141.991
28,11.616,0.9918,-73.5004,127.3055
29,11.5423,0.9917,-103.945,103.9443
30,11.6984,0.9916,-127.306,73.4996
31,11.6989,0.9915,-141.9913,38.0458
32,11.7995,0.9914,-147,-0.0006
33,11.8357,0.9913,-141.991,-38.047
34,12.0142,0.9909,-127.3054,-73.5004
35,11.8976,0.9913,-103.9443,-103.9452
36,11.9939,0.991,-73.4994,-127.306
37,12.3094,0.9909,-38.0458,-141.9913
38,12.4122,0.9909,0.0006,-147
39,12.1994,0.9909,38.047,-141.991
40,11.8417,0.9909,73.5006,-127.3054
41,11.7855,0.9911,103.9452,-103.9443
42,11.7998,0.9912,127.3061,-73.4994
43,11.6819,0.9913,141.9913,-38.0458
44,11.7059,0.9913,147,0.0006
45,11.7341,0.9913,141.991,38.047
46,11.7188,0.9914,127.3054,73.5006
47,11.6385,0.9912,103.9443,103.9452
48,11.6867,0.9916,73.4994,127.3061
49,11.5402,0.9909,38.0458,141.9913
